question_id,topic_id,question_text,option_a,option_b,option_c,correct_answer,hint_text,difficulty
Q023,T004,"What does ""href"" mean in a link?",Hypertext Reference,Hypertext Help,Hypertext Link,A,"The ""ref"" part means ""reference""",1
Q024,T004,How do you make a link open in a new browser tab?,"target=""_blank""",new_window,open_new,A,"Look for the attribute that starts with ""target""",1
Q025,T004,Which is the correct way to write a link to Google?,"<a href=""google.com"">Google</a>","<a src=""google.com"">Google</a>","<a href=""google.com"">Google</a>",A,You need the href attribute in the opening tag,1
Q026,T004,What happens when someone clicks on a link?,It takes them to another webpage,It checks for spelling mistakes,It adds a picture to the page,A,What happens to the user when they click?,1
Q027,T004,Can you make an image clickable like a link?,"Yes, by putting <img> inside <a>","No, only text can be links","Yes, by putting <a> inside <img>",A,You can wrap an image with a link tag,2
Q028,T005,Which tag adds a picture to your webpage?,<img>,<image>,<picture>,A,"This tag is short for ""image""",1
Q029,T005,What attribute tells the browser where the image is?,src,alt,href,A,"This stands for ""source""",1
Q030,T005,"What does the ""alt"" attribute do for an image?",Describes the image for people who cannot see it,It makes the image bigger,It creates a caption under the image,A,"The ""alt"" is like a description",1
Q031,T005,Why should you always add alt text to images?,It helps people who use screen readers,It makes the page load faster,It changes the image colour,B,Think about people who can't see the image,2
Q032,T005,What types of image files work on webpages?,"Many types work (jpg, png, gif)",Only jpg files,Only gif files,A,Most common image formats work,1
Q033,T005,What appears if your image file is missing or broken?,A broken image icon,The page will not load,A broken image icon,A,What does the browser show as a placeholder?,1
Q034,T005,How can you change the size of an image on your page?,Use width and height attributes,Use the size attribute,Use the image-size attribute,A,You can use attributes for width and height,2
Q035,T006,Which tag creates a bulleted (unordered) list?,<ul>,<ol>,<list>,A,"UL stands for ""unordered list""",1
Q036,T006,Which tag creates a numbered (ordered) list?,<ol>,<ul>,<item>,B,"OL stands for ""ordered list""",1
Q037,T006,What is the main difference between <ul> and <ol>?,"<ul> has bullets, <ol> has numbers",Both use bullet points,"<ul> has numbers, <ol> has bullets",A,Think about bullets vs numbers,1
Q038,T006,Which tag is used for each item in a list?,<li>,<list>,<point>,A,"LI stands for ""list item""",1
Q039,T006,Which tag starts a new row in a table?,<tr>,<row>,<table>,A,"TR stands for ""table row""",1
Q040,T006,Which tag creates the heading cells in a table?,<th>,<tr>,<thead>,A,"TH stands for ""table header""",1
Q041,T006,Which tag creates the data cells in a table?,<td>,<data>,<tc>,A,"TD stands for ""table data""",1
Q042,T007,Which tag creates a box where users can type information?,<input>,<form>,<text>,A,This tag collects user information,1
Q043,T007,What attribute gives the input field a name?,name,id,placeholder,A,This is how you identify the field,1
Q044,T007,"What does the ""type"" attribute do for an input field?",It decides what kind of input box it is,It makes the input bigger,It adds a label to the input,A,Different types show different input boxes,1
Q045,T007,What is the main purpose of a form on a website?,To get information from users,To change the page colour,To create animations,A,Forms send information somewhere,1
Q046,T007,Which tag creates a button that submits the form?,"<input type=""submit"">",<submit>,"<button type=""submit"">",A,This tag creates the clickable button,1
Q047,T007,"What is the difference between type=""text"" and type=""password""?","text shows letters, password hides them with dots","text is for passwords, password is for text","text is for passwords, password is for text",A,Think about what each one shows on screen,1
Q048,T007,How do you create a checkbox in a form?,"Use type=""checkbox""","Use type=""check""","Use type=""box""",A,This is a common input type for choices,2
Q049,T008,Why do we use semantic HTML tags?,To give more meaning to the content,To make pages load faster,To make pages more colourful,A,"It's about meaning, not just appearance",2
Q050,T008,Which tag is used for the top part of a webpage or section?,<header>,<section>,<header>,A,This goes at the top of a section,1
Q051,T008,Which tag contains the navigation menu links?,<nav>,<menu>,<navigation>,A,This has navigation links,1
Q052,T008,Which tag holds the main content of your webpage?,<main>,<content>,<section>,A,This has the main content,1
Q053,T008,Which tag is used for the bottom part of a webpage?,<footer>,<bottom>,<lower>,A,This goes at the bottom,1
Q054,T008,Why are semantic tags helpful for people using screen readers?,It helps them understand the page better,It makes the text bigger,It makes pages look more modern,A,Screen readers read pages aloud,2
Q055,T009,What should you do FIRST when building a website?,Plan what you want on your webpage,Start typing code right away,Find pictures for the page,A,Think about what you need before starting,1
Q056,T009,What information usually goes in the footer of a webpage?,Copyright info and links,Only social media links,The page title,A,This goes at the very bottom,1
Q057,T009,Why is it important to test your webpage?,To find and fix problems,To make the page look pretty,To make it more interesting,A,Testing helps catch errors,2
Q058,T009,"Who is a ""visitor"" to your website?",Someone who looks at your webpage,Someone who builds websites,Someone who clicks on links,A,This is the person using your site,1
Q059,T009,"What does ""responsive design"" mean for a website?","It works well on computers, tablets, and phones",It only works on desktop computers,It only works on mobile phones,A,Think about different devices people use,2
Q060,T009,Why is it helpful to plan your webpage before coding?,To stay organized and not forget things,To make coding more complicated,To make sure you have enough time,A,A plan helps you work better,1
